Controller,Action
account,getAccountAvatar
account,getAccountPoint
account,getAccountCostLogList
account,getProjectEmailIsVerify
account,clearMqSession
account,editAccountInfo
account,getAccountScore
account,getWeekMedalCount
account,addAccountMedalGrantLog
accountSetting,editAccountSettingItems
account,getDisplayMedalList
accountScale,addAccountScale
account,getMedalByType
account,getSystemMedals
account,editAccountMedalIsShow
adminManage,appBillList
adminManage,corporateIdentity
appManagement,editViewRoles
appManagement,getRolesByViewId
appManagement,getAppForSheetIds
appManagement,searchAppLibrary
attachment,getAttachmentsByDocVersionIDs
application,isProjectInstall
calendar,getWidgetCalendars
calendar,getMeCalendars
calendar,getLastOneCalendar
calendar,getDailyCalendars
calendar,appendUserCalCategory
calendar,updateUserCalCategoriesIndex
calendar,removeMemberWithoutAccountID
chat,sentFileTransfer
category,getUserOftenCategory
chat,getGroupCardList
chat,getUserCardList
contact,submitLinkContent
department,checkDepartmentNameExists
department,getProjectDepartments
department,getDepartmentTrees
download,exportCalendarByToken
download,exportFailJobOrDepartmentErrorList
email,getSmtpSecret
email,editSmtpSecret
externalPortal,getDiscussConfig
externalPortal,getCustomAddressSuffixIsRepeated
externalPortal,getUserDetail
externalPortal,getSimple
externalPortal,exportalSSO
favorite,getFavoritesDetail
file,downLinkFile
homeApp,editProjectIndex
homeApp,getNavigationInfo
job,mergeJobs
job,getJobUsers
kc,getRootInfoByIds
kc,addNodeDownloadCount
login,workWeiXinLogin
login,workWeiXinInstallAuthLogin
login,workWeiXinWebAuthLogin
map,getCategoryDetail
order,getApkOrderPrice
order,addApkOrder
order,addOneDayOrder
order,getOneDayOrderPrice
order,getTransactionRecordByRecordId
pay,weChatNotify
order,updateTransactionRecordRemark
pay,alipayNotify
pay,alipayReturn
post,checkPostPermission
post,getUserLeftMark
privateGuide,bindProject
privateGuide,getServerLicenseList
private,getAPIUrl
privateGuide,getServerInfo
privateGuide,bindLicenseCode
project,getMyProjects
project,checkProjectIsNotFree
privateGuide,enableLicenseCode
project,getProjectGuidSetting
privateGuide,getGuideStepStatus
project,addTpAuthorizerInfo
project,getProjectDepartmentCount
project,getProjectWorkSitesCount
projectEncrypt,getAvailableEncryptRuleInfo
projectEncrypt,getAllEncryptRule
projectSetting,getProjectIdentity
projectSetting,getProjectDomain
projectSetting,getStructureSelfEdit
projectSetting,setProjectIdentity
projectSetting,removeProjectDomain
projectSetting,setAudit
projectSetting,setBirthdayNotice
role,getUserPermissionByType
role,isGrantedByPermissionIds
role,isGranted
shareFolder,getNodeDetailCheck
share,shareCheckLogin
sms,editProviders
sms,getProviders
structure,pagedTopAccountIdsWith3Level
structure,pagedSubIdsWithByAccountId
structure,getSubordinateByAccountId
tag,addPostTag
tag,removeSourceTag
tag,getUserCommonTag
taskCenter,getAssociatedFolderList
taskCenter,getTeamworkCount
taskCenter,getTeamworkMember
taskCenter,getFolderDescribe
taskCenter,getFoldersByIds
taskCenter,validationUserIsCharge
taskCenter,getFolderMemberNotice
taskCenter,updateFolderMemberStar
taskCenter,getFolderMemberType
taskCenter,getFolderMembers
taskCenter,getFolderAuth
taskCenter,getRelatedUsers
taskCenter,clearLeftMenuCache
taskCenter,getTemplateAndStages
taskCenter,getFolderTemplateStage
taskCenter,getTemplateIdByFolderId
taskCenter,updateFTAFolderDesc
taskCenter,getAllSystemTemplates
taskCenter,updateFTATaskInfo
taskCenter,getTaskTabControlCount
taskCenter,getTaskNumber
taskCenter,getTaskWithMe
taskCenter,batchUpdateTaskParentID
taskCenter,batchUpdateTaskStageID
upgrade,applyForSalesAssistance
user,getUserFilterData
upgrade,getProjectUpgradeInfo
user,updateUserDepartment
user,updateUsersDepartment
user,validateUserHaveFriend
variable,editValue
workWeiXin,getInstallByNewAccountUrl
workWeiXin,getInstallByExistAccountUrl
workWeiXin,getProjectSuiteInfo
weixin,setLoginWeixinNotify
workWeiXin,getWorkWXAccountIdMap
workWeiXin,getRecommendInstallUrls
workWeiXin,editProjectSettingScanInfo
workWeiXin,editAutoSync
workWeiXin,saveMedia
workWeiXin,getWorkWXDepartmentIdMap
workWeiXin,getWorkWXAllMap
workWeiXin,editWorkWXAppNoticeSetting
workWeiXin,getDDJsapiConfig
workWeiXin,syncMingToWorkWX
workWeiXin,transferProjectIntergrationToWorkwxApp
workWeiXin,getWorkWxLicenseOrderDetail
worksheet,getWorksheetControlsQuantity
worksheet,editShowData
worksheet,editPrintFormName
worksheet,getExcelLog
worksheet,optionsToCollection
worksheet,getsQuery
worksheet,getViewFieldPermission
worksheet,updateEntityAndBtnName
worksheet,deleteQuery
worksheet,updateWorksheetName
worksheet,getExtendAttrOptionalControls
worksheet,getRowCountByOwnerID
worksheet,getWorksheetsInfo
worksheet,getRowsDataByShareId
worksheet,isCreatedWorksheet
worksheet,getRelationRowsCount
worksheet,getRowsDataByIds
worksheet,updateWorksheetRowsOwner
worksheet,updateWorksheetAllRowOwner
worksheet,batchRead
worksheet,getFiltersByControlId
worksheet,sortViewBtns
worksheet,getWorksheetViewById